state,quarter,non_tesla_bev,tesla_bev,total_bev,tesla_share
CO,2010Q1,28.0,5.0,33.0,0.15151515151515152
CO,2010Q2,22.0,8.0,30.0,0.26666666666666666
CO,2010Q3,67.0,9.0,76.0,0.11842105263157894
CO,2010Q4,18.0,21.0,39.0,0.5384615384615384
CO,2011Q1,25.0,9.0,34.0,0.2647058823529412
CO,2011Q2,28.0,8.0,36.0,0.2222222222222222
CO,2011Q3,56.0,15.0,71.0,0.2112676056338028
CO,2011Q4,33.0,20.0,53.0,0.37735849056603776
CO,2012Q1,82.0,8.0,90.0,0.08888888888888889
CO,2012Q2,69.0,9.0,78.0,0.11538461538461539
CO,2012Q3,96.0,12.0,108.0,0.1111111111111111
CO,2012Q4,127.0,36.0,163.0,0.22085889570552147
CO,2013Q1,174.0,64.0,238.0,0.2689075630252101
CO,2013Q2,176.0,106.0,282.0,0.375886524822695
CO,2013Q3,244.0,125.0,369.0,0.33875338753387535
CO,2013Q4,233.0,102.0,335.0,0.3044776119402985
CO,2014Q1,281.0,103.0,384.0,0.2682291666666667
CO,2014Q2,335.0,141.0,476.0,0.296218487394958
CO,2014Q3,411.0,157.0,568.0,0.2764084507042254
CO,2014Q4,440.0,155.0,595.0,0.2605042016806723
CO,2015Q1,447.0,201.0,648.0,0.3101851851851852
CO,2015Q2,400.0,285.0,685.0,0.41605839416058393
CO,2015Q3,571.0,308.0,879.0,0.3503981797497156
CO,2015Q4,727.0,263.0,990.0,0.26565656565656565
CO,2016Q1,745.0,318.0,1063.0,0.2991533396048918
CO,2016Q2,619.0,410.0,1029.0,0.39844509232264336
CO,2016Q3,738.0,572.0,1310.0,0.4366412213740458
CO,2016Q4,996.0,506.0,1502.0,0.33688415446071907
CO,2017Q1,1111.0,573.0,1684.0,0.34026128266033256
CO,2017Q2,1167.0,580.0,1747.0,0.3319977103606182
CO,2017Q3,1532.0,656.0,2188.0,0.29981718464351004
CO,2017Q4,1374.0,752.0,2126.0,0.35371589840075257
CO,2018Q1,1323.0,895.0,2218.0,0.4035166816952209
CO,2018Q2,1468.0,980.0,2448.0,0.40032679738562094
CO,2018Q3,1306.0,882.0,2188.0,0.4031078610603291
CO,2018Q4,1658.0,2243.0,3901.0,0.5749807741604717
